经营者年龄,年龄分组描述,婚姻状态,户籍类型,本地居住年限,经营类型,资产等级,住房所有权,资产持有年限,贷款金额_万元,贷款金额分组描述,贷款期限_月,还款负担等级,其他负债_万元,贷款资产比,征信等级,行内评分,历史贷款笔数,账户活跃度,储蓄账户等级,稳定性评分,违约概率,风险评分,风险等级,重庆三农客户评分,客户等级,柑橘产业细分,是否违约,反洗钱行业分类,企业名称,风险特征描述
21,青年创业者(25岁以下),已婚,本地户籍,4,水果种植,2,租赁房产,2,5.245,小型贷款(5-20万),18,4,0.015,0.249761905,4,2,1,1,1,2,0.379923977,37.99239768,中高风险,62.00760232,良好客户,传统散户种植,0,网络赌博相关业务,四川兴商贸网络科技有限公司_0000,企业名称：四川兴商贸网络科技有限公司_0000；所属行业：网络赌博相关业务；资产规模等级：2.00；贷款金额（万元）：5.25；贷款期限（月）：18.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.38；综合风险得分：37.99；历史违约记录：0.00
36,中年骨干(35-44岁),已婚,本地户籍,2,水果种植,1,租赁房产,3,13.995,小型贷款(5-20万),9,2,0.015,1.272272727,4,1,2,1,1,2,0.193393131,19.33931305,中风险,80.66068695,优质客户,传统散户种植,0,建筑施工/工程承包,黑龙江隆工程工程有限公司_0001,企业名称：黑龙江隆工程工程有限公司_0001；所属行业：建筑施工/工程承包；资产规模等级：1.00；贷款金额（万元）：13.99；贷款期限（月）：9.00；还款负担水平：2.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.19；综合风险得分：19.34；历史违约记录：0.00
23,青年创业者(25岁以下),已婚,本地户籍,4,蔬菜种植,1,租赁房产,4,4.205,微型贷款(5万以下),12,2,0.015,0.382272727,2,2,1,2,2,2,0.229455915,22.94559152,中风险,77.05440848,良好客户,非柑橘产业,0,信息技术/软件服务,陕西兴信息实业有限公司_0002,企业名称：陕西兴信息实业有限公司_0002；所属行业：信息技术/软件服务；资产规模等级：1.00；贷款金额（万元）：4.21；贷款期限（月）：12.00；还款负担水平：2.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中风险；预测违约概率：0.23；综合风险得分：22.95；历史违约记录：0.00
39,中年骨干(35-44岁),已婚,外地户籍,2,蔬菜种植,1,租赁房产,3,10.61,小型贷款(5-20万),12,3,0.015,0.964545455,4,1,2,1,1,1,0.224067928,22.40679277,中风险,77.59320723,良好客户,非柑橘产业,0,物流/运输业,广东源制造制造有限公司_0003,企业名称：广东源制造制造有限公司_0003；所属行业：物流/运输业；资产规模等级：1.00；贷款金额（万元）：10.61；贷款期限（月）：12.00；还款负担水平：3.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.22；综合风险得分：22.41；历史违约记录：0.00
38,中年骨干(35-44岁),已婚,外地户籍,4,蔬菜种植,2,自有房产,3,10.855,小型贷款(5-20万),12,4,0.005,0.516904762,4,2,2,1,1,2,0.368381964,36.83819638,中高风险,63.16180362,良好客户,非柑橘产业,0,典当行/拍卖行,上海隆投资贸易有限公司_0004,企业名称：上海隆投资贸易有限公司_0004；所属行业：典当行/拍卖行；资产规模等级：2.00；贷款金额（万元）：10.86；贷款期限（月）：12.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中高风险；预测违约概率：0.37；综合风险得分：36.84；历史违约记录：0.00
48,成熟经营者(45-54岁),已婚,外地户籍,3,蔬菜种植,1,租赁房产,2,11.205,小型贷款(5-20万),10,1,0.015,1.018636364,4,1,2,1,1,1,0.148926475,14.89264748,中低风险,85.10735252,优质客户,非柑橘产业,0,文化艺术/广告传媒,海南鑫生态农业开发有限公司_0005,企业名称：海南鑫生态农业开发有限公司_0005；所属行业：文化艺术/广告传媒；资产规模等级：1.00；贷款金额（万元）：11.21；贷款期限（月）：10.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中低风险；预测违约概率：0.15；综合风险得分：14.89；历史违约记录：0.00
39,中年骨干(35-44岁),已婚,外地户籍,4,蔬菜种植,1,自有房产,4,16.99,小型贷款(5-20万),8,1,0.015,1.544545455,4,2,2,1,1,2,0.206253467,20.62534668,中风险,79.37465332,良好客户,非柑橘产业,0,制造业（含加工）,云南达服务物流有限公司_0006,企业名称：云南达服务物流有限公司_0006；所属行业：制造业（含加工）；资产规模等级：1.00；贷款金额（万元）：16.99；贷款期限（月）：8.00；还款负担水平：1.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：1.00；系统风险评级：中风险；预测违约概率：0.21；综合风险得分：20.63；历史违约记录：0.00
40,中年骨干(35-44岁),已婚,外地户籍,4,蔬菜种植,1,自有房产,2,6.805,小型贷款(5-20万),6,2,0.015,0.618636364,4,1,1,1,1,2,0.16685171,16.68517096,中低风险,83.31482904,优质客户,非柑橘产业,0,医疗卫生服务,山东顺养殖专业合作社_0007,企业名称：山东顺养殖专业合作社_0007；所属行业：医疗卫生服务；资产规模等级：1.00；贷款金额（万元）：6.80；贷款期限（月）：6.00；还款负担水平：2.00；征信评分等级：4.00；历史贷款次数：1.00；账户交易活跃度：1.00；系统风险评级：中低风险；预测违约概率：0.17；综合风险得分：16.69；历史违约记录：0.00
65,老年经营者(65岁以上),已婚,本地户籍,4,粮油种植,3,自有房产,1,5.49,小型贷款(5-20万),18,4,0.015,0.177096774,4,2,2,4,1,3,0.078617574,7.861757403,低风险,92.1382426,优质客户,非柑橘产业,0,医疗卫生服务,甘肃恒园艺健康管理有限公司_0008,企业名称：甘肃恒园艺健康管理有限公司_0008；所属行业：医疗卫生服务；资产规模等级：3.00；贷款金额（万元）：5.49；贷款期限（月）：18.00；还款负担水平：4.00；征信评分等级：4.00；历史贷款次数：2.00；账户交易活跃度：4.00；系统风险评级：低风险；预测违约概率：0.08；综合风险得分：7.86；历史违约记录：0.00
23,青年创业者(25岁以下),已婚,本地户籍,4,粮油种植,4,租赁房产,1,18.79,小型贷款(5-20万),24,1,0.015,0.458292683,2,2,1,2,3,2,0.324828459,32.48284589,中高风险,67.51715411,良好客户,非柑橘产业,0,虚拟货币交易平台,浙江昌投资投资有限公司_0009,企业名称：浙江昌投资投资有限公司_0009；所属行业：虚拟货币交易平台；资产规模等级：4.00；贷款金额（万元）：18.79；贷款期限（月）：24.00；还款负担水平：1.00；征信评分等级：2.00；历史贷款次数：1.00；账户交易活跃度：2.00；系统风险评级：中高风险；预测违约概率：0.32；综合风险得分：32.48；历史违约记录：0.00
